Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
SPRP,isPrimeNaive,2,30,10,0,1,2206.2,453.268,22062,23314.9,24614,441108,664.159,0.0673819,-0.878737,1.88645
SPRP,isPrimeNaive,4,30,10,0,1,2211.9,452.1,22119,23664,26968,1.43698e+06,1198.74,1.05253,0.663334,1.28888
SPRP,isPrimeNaive,8,30,10,0,1,2213.2,451.834,22132,23602.8,26821,1.41069e+06,1187.72,1.27222,1.08959,1.23833
SPRP,isPrimeNaive,16,30,10,0,1,2213.4,451.794,22134,23480.5,25827,820588,905.863,0.5586,-0.0374181,1.48646
SPRP,isPrimeNaive,32,30,10,0,1,2208.7,452.755,22087,23559.6,25762,916506,957.343,0.551772,-0.545662,1.53822
SPRP,isPrimeNaive,64,30,10,0,1,2206.9,453.124,22069,23479.7,27395,1.1739e+06,1083.47,1.68943,3.82222,1.30199
SPRP,isPrimeNaive,128,30,10,0,1,2218.5,450.755,22185,23585.5,26249,1.17464e+06,1083.81,0.790969,-0.208246,1.29223
SPRP,isPrimeNaive,256,30,10,0,1,2216,451.264,22160,23504.7,25760,836698,914.712,0.933681,0.308902,1.47008
SPRP,isPrimeNaive,512,30,10,0,1,2228.2,448.793,22282,24555.2,35228,5.10031e+06,2258.39,3.6365,14.9047,1.00656
SPRP,isPrimeNaive,1024,30,10,0,1,2341.8,427.022,23418,25937.3,32110,5.72691e+06,2393.1,1.1361,0.412472,1.05272
SPRP,isPrimeNaive,2048,30,10,0,1,2397.5,417.101,23975,28258.9,44689,2.0561e+07,4534.42,1.77295,3.71523,0.944744
SPRP,isPrimeNaive,4096,30,10,0,1,2397.6,417.084,23976,27463.1,38143,1.22072e+07,3493.87,1.78778,3.0279,0.998061
SPRP,isPrimeNaive,8192,30,10,0,1,2569.1,389.241,25691,30352.5,41601,2.21818e+07,4709.75,0.814695,-0.518251,0.989755
SPRP,isPrimeNaive,16384,30,10,0,1,2752.1,363.359,27521,29436.2,34397,1.83471e+06,1354.52,1.67011,4.22544,1.41391
SPRP,isPrimeNaive,32768,30,10,0,1,3141.6,318.309,31416,34086.4,40290,6.41064e+06,2531.92,1.3609,0.839488,1.05468
SPRP,isPrimeNaive,65536,30,10,0,1,3713,269.324,37130,39633.6,46099,4.52699e+06,2127.67,1.22605,1.18061,1.1767
SPRP,isPrimeNaive,131072,30,10,0,1,4673.5,213.972,46735,49298.8,53775,3.55226e+06,1884.74,0.947273,0.15901,1.36029
SPRP,isPrimeNaive,262144,30,10,0,1,6135.5,162.986,61355,63983,66715,2.22572e+06,1491.89,0.344554,-0.572851,1.76153
SPRP,isPrimeNaive,524288,30,10,0,1,8261.6,121.042,82616,86104.5,90440,3.93609e+06,1983.96,0.35489,-0.548152,1.75834
SPRP,isPrimeNaive,1048576,30,10,0,1,11343.4,88.157,113434,118418,124100,6.28529e+06,2507.05,0.00206701,-0.511062,1.98805
SPRP,isPrimeNaive,2097152,30,10,0,1,15785.3,63.3501,157853,163311,169729,7.44632e+06,2728.79,0.377393,-0.313215,2.00025
SPRP,isPrimeNaive,4194304,30,10,0,1,22672.1,44.1071,226721,231342,241360,1.43363e+07,3786.34,0.843331,-0.1041,1.22045
SPRP,isPrimeNaive,8388608,30,10,0,1,31342.9,31.9052,313429,326231,354987,8.35336e+07,9139.67,1.12822,1.48182,1.40067
SPRP,isPrimeNaive,16777216,30,10,0,1,44668.2,22.3873,446682,462537,498121,2.04052e+08,14284.7,1.21955,0.509689,1.10995
SPRP,isPrimeNaive,33554432,30,10,0,1,62973.4,15.8797,629734,651591,685640,1.85804e+08,13631,0.896101,0.224689,1.60348
SPRP,isPrimeNaive,67108864,30,10,0,1,89171.7,11.2143,891717,918805,1020203,9.35736e+08,30589.8,2.39702,5.45131,0.885535
SPRP,isPrimeNaive,134217728,30,10,0,1,126324,7.91617,1263237,1.27872e+06,1298846,8.02984e+07,8960.94,0.443203,-0.250897,1.72742
SPRP,isPrimeNaive,268435456,30,10,0,1,177726,5.62665,1777255,1.81722e+06,2003170,2.05704e+09,45354.6,2.59077,7.61111,0.881079
SPRP,isPrimeNaive,536870912,30,10,0,1,251624,3.97418,2516241,2.6356e+06,2991946,1.53754e+10,123997,1.61673,1.81681,0.96259
SPRP,isPrimeNaive,1073741824,30,10,0,1,354618,2.81994,3546181,3.65004e+06,4225459,2.13027e+10,145955,2.72785,7.1163,0.711554
SPRP,isPrimeNaive,2147483648,30,10,0,1,499467,2.00214,4994668,5.07085e+06,5588085,1.13043e+10,106322,4.01493,17.0543,0.716543
SPRP,iBPSW,2,30,10,0,0.879929,1941.3,515.119,19413,21460.5,25574,3.47375e+06,1863.8,1.10534,-0.00868644,1.09856
SPRP,iBPSW,4,30,10,0,0.887834,1963.8,509.217,19638,20719.8,23471,884415,940.433,1.30569,0.976708,1.15029
SPRP,iBPSW,8,30,10,0,0.878457,1944.2,514.35,19442,20624.2,22738,663935,814.822,0.530968,-0.27736,1.45083
SPRP,iBPSW,16,30,10,0,0.875983,1938.9,515.756,19389,20749.1,23256,1.06066e+06,1029.88,1.25414,0.636211,1.32063
SPRP,iBPSW,32,30,10,0,0.877394,1937.9,516.022,19379,20549.3,24117,841902,917.552,1.97488,5.70883,1.27549
SPRP,iBPSW,64,30,10,0,0.884453,1951.9,512.321,19519,20833.6,24816,1.33647e+06,1156.06,2.3148,5.24908,1.13714
SPRP,iBPSW,128,30,10,0,0.876087,1943.6,514.509,19436,20676.5,24327,812491,901.383,2.31338,7.21183,1.37618
SPRP,iBPSW,256,30,10,0,0.882446,1955.5,511.378,19555,20652.3,22334,461411,679.273,0.607753,-0.0607927,1.6154
SPRP,iBPSW,512,30,10,0,0.881025,1963.1,509.398,19631,21083.6,24333,1.14235e+06,1068.81,1.25228,1.29711,1.35908
SPRP,iBPSW,1024,30,10,0,0.848535,1987.1,503.246,19871,21485.1,25631,1.98065e+06,1407.36,1.56274,1.95746,1.14688
SPRP,iBPSW,2048,30,10,0,0.837706,2008.4,497.909,20084,21680.3,26732,1.8294e+06,1352.55,2.06397,4.85837,1.18024
SPRP,iBPSW,4096,30,10,0,0.860444,2063,484.731,20630,22060.2,25940,895065,946.079,2.30895,7.52637,1.51171
SPRP,iBPSW,8192,30,10,0,0.83901,2155.5,463.929,21555,22808.5,27301,1.05268e+06,1026,2.97795,10.5858,1.22177
SPRP,iBPSW,16384,30,10,0,0.843901,2322.5,430.571,23225,24972.1,29377,1.84664e+06,1358.91,1.48585,2.25206,1.28564
SPRP,iBPSW,32768,30,10,0,0.817131,2567.1,389.545,25671,27347.1,30473,1.31774e+06,1147.93,1.02301,0.359913,1.46013
SPRP,iBPSW,65536,30,10,0,0.801966,2977.7,335.83,29777,31639.9,34368,1.53582e+06,1239.28,0.687386,-0.293286,1.50321
SPRP,iBPSW,131072,30,10,0,0.768033,3589.4,278.598,35894,37827.5,41542,2.13358e+06,1460.68,1.06515,0.601609,1.3237
SPRP,iBPSW,262144,30,10,0,0.727585,4464.1,224.009,44641,46711.3,50910,2.09832e+06,1448.56,0.822333,0.466498,1.42921
SPRP,iBPSW,524288,30,10,0,0.701862,5798.5,172.458,57985,59890.2,63100,1.54787e+06,1244.13,0.766355,0.17298,1.53137
SPRP,iBPSW,1048576,30,10,0,5.98365,67874.9,14.733,678749,699523,768921,3.90905e+08,19771.3,1.94364,3.68403,1.0507
SPRP,iBPSW,2097152,30,10,0,4.39702,69408.3,14.4075,694083,731396,880201,1.12693e+09,33569.8,3.03504,10.9922,1.11149
SPRP,iBPSW,4194304,30,10,0,3.14472,71297.5,14.0257,712975,741974,789814,3.98863e+08,19971.5,0.866357,-0.055304,1.45201
SPRP,iBPSW,8388608,30,10,0,2.40212,75289.3,13.2821,752893,776083,859040,4.72416e+08,21735.1,2.09244,5.17548,1.06695
SPRP,iBPSW,16777216,30,10,0,1.68874,75433.1,13.2568,754331,784225,814390,1.65822e+08,12877.2,0.357315,0.168681,2.32144
