1: 31μs
2: 29μs
3: 3,402μs
4: 17,123μs
5: 53μs
6: 60μs
7: 457μs
8: 49μs
9: 135μs
10: 8,510μs
11: 978μs
12: 6,632μs
13: 39μs
14: 11,459μs
15: 43μs
16: 1,158μs
17: 144μs
18: 36μs
19: 194μs
20: 55μs
21: 3,398μs
22: 1,716μs
23: 158,166μs
24: 36μs
25: 9,960μs
26: 4,919μs
27: 44,971μs
28: 32μs
29: 2,198μs
30: 13,521μs
31: 40μs
32: 117,910μs
33: 35μs
34: 806μs
35: 167,121μs
36: 22,465μs
37: 168,672μs
38: 1,096μs
39: 107,056μs
40: 13,022μs
41: 121,476μs
42: 252μs
43: 23,381μs
44: 53,345μs
45: 18,883μs
46: 12,437μs
47: 82,507μs
48: 1,607μs
49: 440μs
50: 212,134μs
51: 616μs
52: 17,463μs
53: 38μs
54: 2,452μs
55: 63,340μs
56: 26,990μs
57: 1,997μs
58: 43,533μs
59: 100,070μs
60: 521,440μs
61: 360μs
62: 424,938μs
63: 38μs
64: 4,405μs
65: 82μs
66: 5,219μs
67: 434μs
68: 11,618μs
69: 41μs
70: 3,152μs
71: 11,038μs
72: 16,086μs
73: 952,052μs
74: 14,606μs
75: 30,148μs
76: 112μs
